docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
000-000-1462632000;000-000;140-105;812;140-035;558;105-000;476;155
000-000-1462632001;000-000;140-035;580;140-105;580;070-000;415;73
000-000-1462632002;000-000;140-105;690;140-035;608;105-000;471;156
000-000-1462632003;000-000;035-070;694;140-105;681;140-035;475;138
000-000-1462632004;000-000;140-105;778;035-070;663;140-035;520;124
000-000-1462632005;000-000;140-105;562;140-035;532;105-000;524;175
000-000-1462632006;000-000;140-105;902;105-070;672;140-035;585;208
000-000-1462632007;000-000;140-105;695;105-000;503;140-035;469;172
000-000-1462632008;000-000;105-105;651;140-105;578;105-070;569;167
000-000-1462632009;000-000;140-105;761;105-000;600;035-070;581;320
000-000-1462632010;000-000;140-035;771;140-105;641;105-000;626;251
000-000-1462632011;000-000;140-035;657;140-105;649;105-000;600;275
000-000-1462632012;000-000;035-070;701;105-000;570;140-035;546;156
000-000-1462632013;000-000;140-105;686;035-070;654;140-035;583;212
000-000-1462632014;000-000;035-070;717;140-105;618;105-105;556;209
000-000-1462632015;000-000;140-105;802;140-035;697;105-070;469;209
000-000-1462632016;000-000;140-105;808;035-070;604;140-035;589;191
000-000-1462632017;000-000;140-035;712;035-070;631;140-105;534;229
000-000-1462632018;000-000;140-105;641;140-035;583;105-000;538;173
000-000-1462632019;000-000;140-105;606;140-035;586;105-000;567;276
000-000-1462632020;000-000;140-105;643;140-035;581;105-000;546;233
000-000-1462632021;000-000;140-105;787;140-035;640;035-070;623;207
000-000-1462632022;000-000;140-105;808;035-070;604;140-035;589;191
000-000-1462632023;000-000;140-105;836;140-035;558;105-000;537;274
000-000-1462632024;000-000;140-035;764;140-105;671;035-070;555;250
000-000-1462632025;000-000;140-105;863;140-035;664;105-070;480;271
000-000-1462632026;000-000;140-105;732;105-000;518;070-140;450;154
000-000-1462632027;000-000;140-035;763;070-035;645;140-105;616;316
000-000-1462632028;000-000;140-105;733;140-035;714;105-000;590;228
000-000-1462632029;000-000;035-070;641;140-035;575;105-000;522;174
000-000-1462632030;000-000;035-070;776;140-105;740;105-000;492;123
000-000-1462632031;000-000;140-105;815;105-000;556;140-035;534;174
000-000-1462632032;000-000;140-105;878;035-070;594;140-035;524;189
000-000-1462632033;000-000;140-105;820;140-035;646;105-070;583;227
000-000-1462632034;000-000;140-105;786;140-035;615;105-000;574;275
000-000-1462632035;000-000;140-105;726;140-035;653;035-070;622;208
000-000-1462632036;000-000;140-105;724;035-070;638;140-035;520;124
000-000-1462632037;000-000;140-105;605;105-000;605;140-035;605;141
000-000-1462632038;000-000;140-105;778;035-070;663;140-035;520;124
000-000-1462632039;000-000;140-105;843;035-070;780;140-035;528;108
000-000-1462632040;000-000;140-105;712;035-070;600;140-035;452;95
000-000-1462632041;000-000;140-105;633;140-035;474;070-000;415;84
000-000-1462632042;000-000;035-070;824;105-000;532;035-035;515;138
000-000-1462632043;000-000;140-105;704;140-035;497;070-000;415;110
000-000-1462632044;000-000;140-105;626;105-000;552;140-035;538;229
000-000-1462632045;000-000;140-035;760;140-105;755;035-070;494;139
000-000-1462632046;000-000;140-105;652;140-035;491;105-000;447;97
000-000-1462632047;000-000;105-000;522;140-105;506;140-035;458;125
000-000-1462632048;000-000;140-105;843;035-070;780;140-035;528;108
000-000-1462632049;000-000;140-105;737;140-035;519;105-000;485;111
000-000-1462632050;000-000;140-105;843;035-070;780;140-035;528;108
000-000-1462632051;000-000;035-070;775;140-105;731;140-070;451;121
000-000-1462632052;000-000;140-035;656;105-000;585;140-105;556;138
000-000-1462632053;000-000;140-105;856;035-070;611;105-000;485;155
000-000-1462632054;000-000;140-105;745;140-035;515;105-000;457;123
000-000-1462632055;000-000;140-105;632;140-035;577;105-000;512;157
000-000-1462632056;000-000;105-140;744;140-105;740;140-035;521;153
000-000-1462632057;000-000;140-105;483;105-000;479;140-035;443;110
000-000-1462632058;000-000;035-070;705;140-105;605;105-000;497;155
000-000-1462632059;000-000;140-105;867;140-035;504;105-000;495;95
000-000-1462632060;000-000;140-105;675;140-035;568;105-000;540;193
000-000-1462632061;000-000;140-105;629;105-000;606;140-035;538;174
000-000-1462632062;000-000;140-105;610;105-000;562;140-035;460;211
000-000-1462632063;000-000;035-070;757;105-000;531;140-105;528;140
000-000-1462632064;000-000;035-070;708;140-105;558;140-035;508;141
000-000-1462632065;000-000;140-105;766;105-000;602;105-105;549;228
000-000-1462632066;000-000;140-105;859;035-070;715;140-035;619;138
000-000-1462632067;000-000;035-070;713;140-105;689;105-000;598;172
000-000-1462632068;000-000;035-070;718;140-105;626;105-000;584;251
000-000-1462632069;000-000;140-035;713;140-105;635;035-070;606;230
000-000-1462632070;000-000;140-105;582;105-000;544;140-035;527;157
000-000-1462632071;000-000;140-105;751;035-070;556;140-035;516;191
000-000-1462632072;000-000;140-105;746;035-070;647;140-035;644;169
