docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
000-000-1462632000;000-000;053-088;648;105-140;583;105-000;547;155
000-000-1462632001;000-000;053-088;1022;140-105;580;070-088;554;73
000-000-1462632002;000-000;140-105;940;053-088;601;105-140;523;156
000-000-1462632003;000-000;053-088;854;140-035;555;140-105;487;138
000-000-1462632004;000-000;053-088;927;105-140;726;070-088;477;124
000-000-1462632005;000-000;070-088;651;053-088;626;140-105;534;175
000-000-1462632006;000-000;105-070;767;140-105;726;140-035;630;208
000-000-1462632007;000-000;140-105;628;053-088;589;140-035;518;172
000-000-1462632008;000-000;053-123;751;105-000;648;140-035;584;167
000-000-1462632009;000-000;140-105;641;070-088;585;053-088;551;320
000-000-1462632010;000-000;140-035;778;105-070;590;140-105;582;251
000-000-1462632011;000-000;140-035;674;070-088;592;140-105;567;275
000-000-1462632012;000-000;140-105;734;053-088;732;070-088;601;156
000-000-1462632013;000-000;053-088;629;070-088;611;140-035;582;212
000-000-1462632014;000-000;053-123;847;140-105;783;070-088;665;209
000-000-1462632015;000-000;140-035;693;105-000;563;105-140;557;209
000-000-1462632016;000-000;140-035;775;140-105;734;053-088;586;191
000-000-1462632017;000-000;140-035;619;105-000;616;053-088;613;229
000-000-1462632018;000-000;140-035;663;140-105;644;105-000;535;173
000-000-1462632019;000-000;070-088;587;140-105;568;140-035;553;276
000-000-1462632020;000-000;140-105;627;140-035;592;105-140;518;233
000-000-1462632021;000-000;140-105;863;140-035;621;053-088;597;207
000-000-1462632022;000-000;140-035;775;140-105;734;053-088;586;191
000-000-1462632023;000-000;140-105;753;140-035;614;070-088;489;274
000-000-1462632024;000-000;140-035;791;070-088;653;140-105;578;250
000-000-1462632025;000-000;140-105;673;140-035;634;105-000;540;271
000-000-1462632026;000-000;140-105;691;053-088;639;070-088;507;154
000-000-1462632027;000-000;140-035;777;105-000;631;070-035;604;316
000-000-1462632028;000-000;105-070;725;053-088;639;140-035;622;228
000-000-1462632029;000-000;140-105;659;053-088;629;140-035;528;174
000-000-1462632030;000-000;053-088;846;105-000;616;140-035;557;123
000-000-1462632031;000-000;105-140;660;053-088;614;105-070;606;174
000-000-1462632032;000-000;053-088;666;105-000;568;105-070;540;189
000-000-1462632033;000-000;140-105;702;105-070;699;105-140;692;227
000-000-1462632034;000-000;140-035;654;140-105;641;070-088;517;275
000-000-1462632035;000-000;105-070;729;053-088;684;140-035;593;208
000-000-1462632036;000-000;053-088;809;140-035;615;140-105;517;124
000-000-1462632037;000-000;105-140;808;140-105;694;053-088;590;141
000-000-1462632038;000-000;053-088;927;105-140;726;070-088;477;124
000-000-1462632039;000-000;053-088;907;105-000;656;140-035;613;108
000-000-1462632040;000-000;053-088;939;140-105;749;070-088;431;95
000-000-1462632041;000-000;053-088;924;140-105;500;105-140;486;84
000-000-1462632042;000-000;053-088;928;035-105;544;105-000;497;138
000-000-1462632043;000-000;053-088;737;140-035;622;140-105;523;110
000-000-1462632044;000-000;140-105;752;070-088;610;140-035;598;229
000-000-1462632045;000-000;140-105;1079;140-035;773;053-088;660;139
000-000-1462632046;000-000;053-088;801;140-105;766;105-140;547;97
000-000-1462632047;000-000;053-088;743;140-105;595;070-088;530;125
000-000-1462632048;000-000;053-088;907;105-000;656;140-035;613;108
000-000-1462632049;000-000;105-140;999;053-088;769;140-105;683;111
000-000-1462632050;000-000;053-088;907;105-000;656;140-035;613;108
000-000-1462632051;000-000;053-088;957;140-105;615;035-105;569;121
000-000-1462632052;000-000;140-105;766;140-035;578;053-088;567;138
000-000-1462632053;000-000;140-105;777;053-088;759;105-140;745;155
000-000-1462632054;000-000;140-105;1156;053-088;649;105-070;462;123
000-000-1462632055;000-000;140-105;819;140-035;675;053-088;632;157
