docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
MB315-120-100-1463736530;120-100;120-100;1414;098-013;641;128-013;636;1787
B101-090-000-1463734410;090-000;090-000;1615;068-038;718;105-075;716;3499
X23-075-075-1463734690;075-075;075-075;966;060-050;709;075-050;655;1787
X20-165-075-1463734840;165-075;165-075;1223;150-100;832;128-038;658;1891
X2-135-025-1463734290;135-025;128-013;688;183-013;678;158-013;642;1623
X22-105-000-1463736900;105-000;105-000;909;068-038;711;083-013;689;2208
B108-090-100-1463734940;090-100;090-100;925;075-075;722;105-075;671;1726
X20-165-075-1463733970;165-075;165-075;1385;180-100;677;120-025;650;1875
MB508-030-050-1463737660;030-050;030-050;1383;075-075;696;098-013;636;2491
X25-015-000-1463737040;015-000;015-000;1002;030-025;642;075-050;634;1726
B103-128-038-1463737720;128-038;128-038;786;158-038;665;120-050;651;1907
B101-090-000-1463734530;090-000;090-000;1439;105-025;708;068-038;695;2966
B101-158-013-1463736650;158-013;158-013;754;183-013;690;173-038;686;1846
X22-105-075-1463734460;105-075;105-075;974;150-100;731;128-038;689;2211
X24-045-000-1463736480;045-000;045-000;947;053-038;710;075-000;679;2261
X25-015-075-1463733830;015-075;015-075;1469;045-050;621;105-050;615;1839
B108-053-038-1463737590;053-038;023-038;825;053-013;787;053-038;768;1966
X6-030-025-1463737620;030-025;015-025;743;030-025;741;038-038;703;1418
B108-053-013-1463736540;053-013;053-013;917;068-013;676;090-025;653;1789
B11-180-000-1463737010;180-000;180-000;1480;113-013;652;090-025;646;2472
B16-120-000-1463737010;120-000;120-000;1395;120-050;677;180-025;643;3210
B17-060-000-1463736850;060-000;060-000;1391;023-038;681;083-013;668;3456
X3-105-025-1463734670;105-025;105-025;992;120-025;763;128-013;635;1787
X6-030-025-1463737900;030-025;045-050;748;030-025;747;023-038;699;1566
B108-053-013-1463737100;053-013;053-013;867;075-075;727;090-025;675;1788
B103-128-013-1463737060;128-013;135-025;757;128-013;742;113-013;668;1314
X2-135-025-1463733920;135-025;150-025;765;128-013;721;135-025;700;1357
B14-000-100-1463737590;000-100;000-100;1455;128-013;628;173-013;625;1781
MB315-120-100-1463734430;120-100;120-100;1417;030-025;647;128-038;636;1953
MB315-120-100-1463734940;120-100;120-100;1339;150-100;659;128-038;657;1902
X24-045-075-1463734340;045-075;045-075;1467;083-013;673;098-013;660;1965
X7-183-013-1463736620;183-013;183-013;854;158-013;695;165-025;686;1508
X3-120-025-1463737940;120-025;120-025;773;105-025;768;128-013;693;1682
B107-068-038-1463737990;068-038;068-038;1062;023-038;782;053-038;710;2093
X25-015-000-1463736870;015-000;015-000;1500;090-025;663;038-013;660;1773
X24-045-075-1463734620;045-075;045-075;1410;030-100;723;045-025;654;1903
B11-180-000-1463736440;180-000;180-000;1500;173-013;630;128-013;630;2477
B11-180-000-1463738000;180-000;180-000;1477;183-038;659;128-013;630;2543
B103-128-013-1463737100;128-013;113-013;771;128-013;691;075-050;661;1625
B14-000-100-1463738210;000-100;000-100;1471;038-038;637;180-025;629;1719
B104-120-050-1463734840;120-050;120-050;1014;143-013;663;128-013;652;1908
MB276-150-050-1463734610;150-050;150-050;1403;128-038;697;183-038;664;2910
X21-135-075-1463734410;135-075;135-075;1674;105-075;797;120-050;675;2658
X23-075-075-1463734450;075-075;075-075;1069;045-075;981;060-050;692;1904
MB276-150-050-1463734040;150-050;150-050;1436;128-038;670;150-100;663;2763
X20-165-075-1463734650;165-075;165-075;1730;150-100;763;180-100;660;2073
B104-113-013-1463736880;113-013;113-013;981;150-025;675;075-050;672;1511
B109-030-100-1463734910;030-100;030-100;942;053-038;674;090-025;661;1071
X5-090-025-1463737820;090-025;090-025;809;038-013;741;045-050;690;1311
B106-000-050-1463734680;000-050;000-050;894;045-050;722;015-050;706;1360
MB276-150-050-1463738180;150-050;150-050;1322;128-038;662;150-100;652;2774
X5-045-025-1463736680;045-025;045-025;734;045-050;696;090-025;636;1570
MB17-090-050-1463736990;090-050;090-050;1323;128-038;677;105-025;653;2357
X25-015-000-1463736390;015-000;015-000;1452;030-025;678;038-013;662;1835
X22-105-050-1463737560;105-050;105-050;748;090-025;713;075-050;645;1271
MB315-120-100-1463736790;120-100;120-100;1427;180-100;637;150-100;635;1954
X6-015-025-1463734810;015-025;015-025;1052;090-025;660;038-038;640;949
B11-180-000-1463734490;180-000;180-000;1500;173-013;630;128-013;630;2477
B106-083-013-1463736390;083-013;083-013;962;105-025;714;045-025;663;1903
X24-045-075-1463733980;045-075;045-075;1341;075-075;912;030-100;721;1900
X25-015-050-1463737900;015-050;015-050;761;030-025;735;000-050;698;1263
B107-068-013-1463736490;068-013;068-013;827;075-025;720;053-013;689;1965
B16-120-000-1463736610;120-000;120-000;1349;128-038;652;045-050;649;2989
B105-060-050-1463734920;060-050;060-050;770;075-050;645;075-025;636;1311
MB315-120-100-1463736960;120-100;120-100;1504;098-013;658;128-013;636;1714
X2-150-025-1463738160;150-025;150-025;844;113-013;756;135-025;669;1210
B11-180-000-1463737910;180-000;180-000;1423;083-038;647;183-013;647;2350
MB508-030-050-1463737550;030-050;030-050;1423;090-025;666;045-050;663;2285
X21-135-075-1463734520;135-075;135-075;1505;105-075;745;128-038;672;2463
X4-075-025-1463734750;075-025;075-025;814;090-025;703;038-013;700;1354
B100-173-013-1463736620;173-013;165-025;768;173-013;747;165-000;683;1720
MB276-150-050-1463734910;150-050;150-050;1386;183-038;665;038-013;645;2908
B13-000-000-1463737800;000-000;000-000;1467;015-000;662;183-013;637;2689
MB291-180-100-1463734320;180-100;180-100;1449;000-100;638;150-100;634;1593
B107-068-038-1463737720;068-038;068-038;951;045-075;732;098-038;730;2412
MB17-090-050-1463734010;090-050;090-050;1430;075-050;648;098-013;647;2095
B107-150-100-1463734680;150-100;150-100;1090;090-025;643;090-100;623;1410
X8-023-013-1463736570;023-013;023-013;752;045-025;694;030-025;685;1574
B109-030-100-1463733860;030-100;030-100;914;060-050;670;045-050;628;1362
X1-165-025-1463734760;165-025;165-025;751;150-025;690;183-013;671;1678
