docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
MB315-120-100-1463736530;120-100;120-100;917;135-025;666;090-100;654;423
B101-090-000-1463734410;090-000;090-000;1706;060-000;856;068-038;725;1009
X23-075-075-1463734690;075-075;090-100;754;053-013;728;090-050;727;511
X20-165-075-1463734840;165-075;165-075;1257;090-100;685;150-100;680;732
X2-135-025-1463734290;135-025;135-025;699;113-013;698;128-013;680;519
X22-105-000-1463736900;105-000;068-038;740;105-000;726;143-013;676;614
B108-090-100-1463734940;090-100;090-100;767;053-013;725;060-050;699;483
X20-165-075-1463733970;165-075;165-075;859;158-038;744;180-100;664;595
MB508-030-050-1463737660;030-050;030-050;1129;053-013;699;015-050;675;687
X25-015-000-1463737040;015-000;030-000;941;015-000;902;053-013;672;927
B103-128-038-1463737720;128-038;180-050;708;135-025;703;158-038;685;614
B101-090-000-1463734530;090-000;090-000;1037;060-000;968;068-038;817;892
B101-158-013-1463736650;158-013;173-038;816;135-075;717;165-025;704;835
X22-105-075-1463734460;105-075;090-000;1024;143-038;693;113-038;682;811
X24-045-000-1463736480;045-000;060-000;1149;053-013;702;038-038;693;752
X25-015-075-1463733830;015-075;015-075;947;030-050;944;053-013;697;746
B108-053-038-1463737590;053-038;053-013;742;075-025;698;105-025;696;566
X6-030-025-1463737620;030-025;038-038;727;053-013;698;045-000;676;620
B108-053-013-1463736540;053-013;053-013;730;060-050;699;090-100;686;508
B11-180-000-1463737010;180-000;180-000;1437;143-013;680;053-013;672;1276
B16-120-000-1463737010;120-000;120-000;1099;143-013;697;165-050;664;870
B17-060-000-1463736850;060-000;060-000;1096;053-013;699;083-013;682;788
X3-105-025-1463734670;105-025;120-100;794;090-100;690;105-025;679;452
X6-030-025-1463737900;030-025;015-050;751;038-038;669;015-025;662;668
B108-053-013-1463737100;053-013;053-013;733;090-025;707;105-050;691;481
B103-128-013-1463737060;128-013;135-025;732;143-013;692;120-025;688;586
X2-135-025-1463733920;135-025;135-025;748;150-025;745;143-013;673;483
B14-000-100-1463737590;000-100;000-100;1366;105-050;668;053-013;663;996
MB315-120-100-1463734430;120-100;120-100;917;135-025;666;090-100;654;423
MB315-120-100-1463734940;120-100;120-100;917;135-025;666;090-100;654;423
X24-045-075-1463734340;045-075;090-100;693;045-075;688;083-013;678;718
X7-183-013-1463736620;183-013;165-025;724;158-013;693;165-050;681;652
X3-120-025-1463737940;120-025;135-025;706;105-025;705;143-013;693;563
B107-068-038-1463737990;068-038;068-038;952;053-013;735;113-013;659;716
X25-015-000-1463736870;015-000;015-000;1131;053-013;667;038-038;656;729
