docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
180-038-000-000-1463738340;000-000;150-025;772;135-025;639;128-013;625;2508
180-038-000-000-1463738350;000-000;158-013;729;183-013;704;135-025;700;2771
180-038-000-000-1463738360;000-000;135-025;826;150-025;738;158-013;706;2685
180-038-000-000-1463738370;000-000;135-025;840;150-025;775;113-013;653;2929
180-038-000-000-1463738380;000-000;135-025;758;180-050;695;128-013;664;2791
180-038-000-000-1463738390;000-000;150-025;765;165-050;751;135-025;745;3231
180-038-000-000-1463738400;000-000;075-050;639;135-025;630;158-013;614;2862
180-038-000-000-1463738410;000-000;135-025;860;150-025;719;183-013;715;2559
180-038-000-000-1463738420;000-000;150-025;746;135-025;683;180-025;633;2567
180-038-000-000-1463738430;000-000;135-025;804;150-025;737;158-013;730;3206
180-038-000-000-1463738440;000-000;135-025;811;150-025;723;158-038;691;2637
180-038-000-000-1463738450;000-000;158-013;767;135-025;698;150-025;687;3067
180-038-000-000-1463738460;000-000;158-013;718;135-025;691;143-013;690;2997
180-038-000-000-1463738470;000-000;135-025;827;150-025;736;180-025;663;2271
180-038-000-000-1463738480;000-000;135-025;722;150-025;719;158-013;639;2562
180-038-000-000-1463738490;000-000;150-025;685;180-050;661;135-025;638;2440
180-038-000-000-1463738500;000-000;135-025;908;150-025;708;075-050;621;2429
180-038-000-000-1463738510;000-000;135-025;856;150-025;778;183-013;657;2560
180-038-000-000-1463738520;000-000;135-025;816;150-025;717;180-050;669;2648
180-038-000-000-1463738530;000-000;135-025;750;158-013;692;150-025;676;2697
180-038-000-000-1463738540;000-000;150-025;751;183-013;724;128-013;609;2493
180-038-000-000-1463738550;000-000;150-025;789;183-013;755;135-025;698;2906
180-038-000-000-1463738560;000-000;180-050;704;135-025;686;150-025;672;2788
180-038-000-000-1463738570;000-000;150-025;720;158-013;658;183-013;595;2217
180-038-000-000-1463738580;000-000;135-025;813;150-025;688;158-013;660;2558
180-038-000-000-1463738590;000-000;135-025;781;158-013;774;150-025;675;2679
180-038-000-000-1463738600;000-000;135-025;906;150-025;834;075-050;643;2768
180-038-000-000-1463738610;000-000;135-025;869;150-025;744;180-025;651;2775
180-038-000-000-1463738620;000-000;150-025;709;158-013;659;143-013;651;2710
180-038-000-000-1463738630;000-000;158-013;803;135-025;686;143-013;648;3296
180-038-000-000-1463738640;000-000;150-025;790;135-025;616;180-050;562;1988
180-038-000-000-1463738650;000-000;135-025;842;150-025;634;180-050;583;2301
180-038-000-000-1463738660;000-000;135-025;827;158-013;701;143-038;662;2888
180-038-000-000-1463738670;000-000;150-025;772;135-025;759;105-050;622;2501
180-038-000-000-1463738680;000-000;150-025;783;165-000;689;158-038;632;2629
180-038-000-000-1463738690;000-000;135-025;815;150-025;736;165-000;659;2482
180-038-000-000-1463738700;000-000;135-025;826;150-025;735;158-038;606;2430
180-038-000-000-1463738710;000-000;135-025;902;158-038;676;150-025;666;2636
180-038-000-000-1463738720;000-000;135-025;844;150-025;671;158-013;598;2496
180-038-000-000-1463738730;000-000;135-025;886;150-025;797;180-025;666;2490
180-038-000-000-1463738740;000-000;135-025;789;158-013;731;150-025;726;2904
180-038-000-000-1463738750;000-000;150-025;792;135-025;711;158-013;659;2483
180-038-000-000-1463738760;000-000;165-000;774;135-025;751;158-013;717;2892
180-038-000-000-1463738770;000-000;135-025;864;183-013;692;158-013;687;2839
180-038-000-000-1463738780;000-000;135-025;764;150-025;751;180-025;640;2495
180-038-000-000-1463738790;000-000;135-025;812;150-025;794;158-038;605;2464
180-038-000-000-1463738800;000-000;135-025;807;150-025;778;183-013;737;2903
180-038-000-000-1463738810;000-000;135-025;735;150-100;695;158-013;684;2754
180-038-000-000-1463738820;000-000;135-025;846;158-013;783;150-025;712;2969
180-038-000-000-1463738830;000-000;158-013;749;135-025;726;150-025;693;3199
180-038-000-000-1463738840;000-000;135-025;765;158-013;703;183-013;692;3132
180-038-000-000-1463738850;000-000;135-025;767;158-013;729;180-050;687;2994
180-038-000-000-1463738860;000-000;150-025;788;135-025;671;158-038;613;2303
180-038-000-000-1463738870;000-000;135-025;779;128-013;674;143-013;656;2580
180-038-000-000-1463738880;000-000;135-025;730;180-050;728;150-025;709;2501
180-038-000-000-1463738890;000-000;135-025;859;150-025;758;158-038;670;2702
180-038-000-000-1463738900;000-000;135-025;867;150-025;737;183-013;731;2631
180-038-000-000-1463738910;000-000;150-025;810;135-025;744;075-050;634;2771
180-038-000-000-1463738920;000-000;158-013;726;150-025;693;135-025;645;2925
180-038-000-000-1463738930;000-000;150-025;709;135-025;685;143-013;644;2727
180-038-000-000-1463738940;000-000;135-025;794;150-025;759;158-013;686;2767
180-038-000-000-1463738950;000-000;135-025;853;150-025;734;180-025;679;2295
180-038-000-000-1463738960;000-000;135-025;768;150-025;726;165-000;591;2570
180-038-000-000-1463738970;000-000;150-025;722;165-025;697;180-050;656;2573
