docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
180-038-000-000-1463738340;000-000;143-013;701;150-025;663;128-013;652;1308
180-038-000-000-1463738350;000-000;165-025;710;183-013;702;143-013;681;1456
180-038-000-000-1463738360;000-000;135-025;692;150-025;655;165-025;652;1348
180-038-000-000-1463738370;000-000;165-025;692;180-050;685;135-025;680;1461
180-038-000-000-1463738380;000-000;180-050;702;143-013;691;135-025;669;1518
180-038-000-000-1463738390;000-000;165-025;754;183-013;739;135-025;716;1625
180-038-000-000-1463738400;000-000;165-025;698;105-050;630;128-013;627;1412
180-038-000-000-1463738410;000-000;183-013;774;165-025;739;135-025;676;1353
180-038-000-000-1463738420;000-000;135-025;700;165-025;671;150-025;664;1308
180-038-000-000-1463738430;000-000;183-013;704;135-025;693;165-025;687;1671
180-038-000-000-1463738440;000-000;158-038;690;135-025;669;183-013;666;1406
180-038-000-000-1463738450;000-000;165-025;688;180-050;684;183-038;679;1616
180-038-000-000-1463738460;000-000;183-013;741;143-013;714;128-013;698;1622
180-038-000-000-1463738470;000-000;165-025;717;180-025;708;180-050;667;1243
180-038-000-000-1463738480;000-000;158-038;702;183-013;673;150-025;644;1306
180-038-000-000-1463738490;000-000;165-025;818;180-050;762;180-025;648;1212
180-038-000-000-1463738500;000-000;135-025;696;165-025;669;180-050;648;1352
180-038-000-000-1463738510;000-000;165-025;724;135-025;714;183-013;711;1453
180-038-000-000-1463738520;000-000;158-038;771;180-050;737;105-050;653;1457
180-038-000-000-1463738530;000-000;158-038;720;183-013;713;180-050;664;1451
180-038-000-000-1463738540;000-000;183-013;853;143-013;655;180-025;655;1302
180-038-000-000-1463738550;000-000;183-013;768;135-025;685;143-013;679;1559
180-038-000-000-1463738560;000-000;180-050;768;180-025;709;165-025;695;1355
180-038-000-000-1463738570;000-000;165-025;726;150-025;651;183-013;635;1298
180-038-000-000-1463738580;000-000;135-025;726;180-050;700;180-025;620;1350
180-038-000-000-1463738590;000-000;158-038;712;180-050;676;135-025;656;1395
180-038-000-000-1463738600;000-000;135-025;748;158-038;716;150-025;653;1453
180-038-000-000-1463738610;000-000;135-025;748;180-025;688;158-038;686;1454
180-038-000-000-1463738620;000-000;165-025;834;180-050;697;180-025;675;1453
180-038-000-000-1463738630;000-000;158-038;716;180-050;687;143-038;675;1729
180-038-000-000-1463738640;000-000;150-025;679;180-050;658;183-013;616;1162
180-038-000-000-1463738650;000-000;165-025;669;180-050;665;135-025;659;1210
180-038-000-000-1463738660;000-000;158-038;694;143-038;684;135-025;680;1548
180-038-000-000-1463738670;000-000;180-050;654;135-025;647;158-038;644;1256
180-038-000-000-1463738680;000-000;165-025;794;173-038;714;183-013;694;1452
180-038-000-000-1463738690;000-000;158-038;657;135-025;651;143-038;649;1397
180-038-000-000-1463738700;000-000;183-013;665;150-025;651;135-025;646;1212
180-038-000-000-1463738710;000-000;135-025;765;158-038;724;180-050;678;1405
180-038-000-000-1463738720;000-000;165-025;707;135-025;643;180-050;627;1304
180-038-000-000-1463738730;000-000;165-025;779;180-025;675;135-025;665;1350
180-038-000-000-1463738740;000-000;135-025;709;183-013;670;158-038;668;1503
180-038-000-000-1463738750;000-000;143-038;726;158-038;721;135-025;688;1398
180-038-000-000-1463738760;000-000;183-013;695;165-050;671;158-013;662;1501
180-038-000-000-1463738770;000-000;135-025;723;183-013;714;165-025;705;1559
180-038-000-000-1463738780;000-000;180-050;721;180-025;663;165-025;651;1301
180-038-000-000-1463738790;000-000;180-050;691;135-025;644;180-025;639;1295
180-038-000-000-1463738800;000-000;135-025;699;183-013;687;180-025;684;1553
180-038-000-000-1463738810;000-000;165-025;708;158-038;708;180-025;670;1554
180-038-000-000-1463738820;000-000;135-025;716;165-025;689;180-025;681;1555
180-038-000-000-1463738830;000-000;158-038;701;143-038;669;165-025;666;1660
180-038-000-000-1463738840;000-000;158-038;721;183-013;718;135-025;697;1719
180-038-000-000-1463738850;000-000;180-050;732;165-025;728;180-025;702;1671
180-038-000-000-1463738860;000-000;150-025;655;180-050;655;180-025;651;1258
180-038-000-000-1463738870;000-000;180-050;685;165-025;676;105-050;668;1462
180-038-000-000-1463738880;000-000;180-050;769;183-013;710;165-025;672;1356
180-038-000-000-1463738890;000-000;158-038;690;135-025;669;183-013;666;1406
180-038-000-000-1463738900;000-000;183-013;774;165-025;739;135-025;676;1353
180-038-000-000-1463738910;000-000;143-013;675;135-025;656;183-013;630;1407
180-038-000-000-1463738920;000-000;165-025;763;158-038;724;183-013;690;1616
180-038-000-000-1463738930;000-000;180-050;714;165-025;684;143-013;665;1515
180-038-000-000-1463738940;000-000;180-025;673;158-038;671;135-025;669;1456
180-038-000-000-1463738950;000-000;135-025;716;180-050;702;165-025;701;1301
180-038-000-000-1463738960;000-000;135-025;695;158-038;652;180-050;641;1354
180-038-000-000-1463738970;000-000;165-025;794;180-050;725;158-038;667;1457
180-038-000-000-1463738980;000-000;135-025;755;180-025;694;165-025;692;1562
180-038-000-000-1463738990;000-000;183-013;836;120-050;742;165-000;679;1248
180-038-000-000-1463739000;000-000;180-025;769;180-050;653;165-025;640;707
150-038-000-000-1463738340;000-000;128-038;734;143-038;726;135-025;689;1792
150-038-000-000-1463738350;000-000;143-038;738;135-025;723;128-013;647;1736
150-038-000-000-1463738360;000-000;128-013;735;135-025;701;128-038;691;1463
150-038-000-000-1463738370;000-000;135-025;742;128-013;724;143-013;687;1629
150-038-000-000-1463738380;000-000;180-050;734;135-025;696;128-038;683;1411
150-038-000-000-1463738390;000-000;135-025;745;143-013;678;128-013;661;1684
150-038-000-000-1463738400;000-000;180-050;742;135-025;713;128-013;680;1566
150-038-000-000-1463738410;000-000;135-025;774;128-013;704;120-025;634;1516
150-038-000-000-1463738420;000-000;135-025;796;128-013;706;150-025;654;1467
150-038-000-000-1463738430;000-000;135-025;667;143-013;665;128-038;661;1625
150-038-000-000-1463738440;000-000;135-025;728;128-038;702;180-050;659;1681
150-038-000-000-1463738450;000-000;180-050;738;128-013;694;135-025;674;1364
150-038-000-000-1463738460;000-000;135-025;746;143-013;671;143-038;660;1735
150-038-000-000-1463738470;000-000;135-025;708;128-038;677;143-013;671;1684
150-038-000-000-1463738480;000-000;135-025;735;128-038;703;143-038;641;1623
150-038-000-000-1463738490;000-000;135-025;720;143-038;703;128-038;698;1846
150-038-000-000-1463738500;000-000;135-025;748;128-013;695;105-050;639;1621
150-038-000-000-1463738510;000-000;135-025;779;128-013;743;105-050;678;1415
150-038-000-000-1463738520;000-000;128-013;716;135-025;656;180-050;650;1413
150-038-000-000-1463738530;000-000;135-025;822;128-013;667;105-050;659;1466
150-038-000-000-1463738540;000-000;128-013;749;143-013;696;165-025;654;1624
150-038-000-000-1463738550;000-000;135-025;737;180-050;730;128-038;660;1569
150-038-000-000-1463738560;000-000;135-025;789;180-050;671;128-038;668;1622
150-038-000-000-1463738570;000-000;135-025;711;143-013;711;180-050;679;1682
150-038-000-000-1463738580;000-000;165-025;736;128-038;709;180-050;685;1678
150-038-000-000-1463738590;000-000;135-025;743;128-013;717;158-013;674;1625
150-038-000-000-1463738600;000-000;128-038;730;120-050;688;135-025;679;1682
150-038-000-000-1463738610;000-000;128-038;734;135-025;724;120-050;665;1564
150-038-000-000-1463738620;000-000;135-025;744;165-025;691;128-013;660;1464
150-038-000-000-1463738630;000-000;135-025;783;120-050;715;128-013;710;1572
150-038-000-000-1463738640;000-000;135-025;747;128-038;681;128-013;675;1465
150-038-000-000-1463738650;000-000;135-025;754;180-050;639;128-013;629;1517
150-038-000-000-1463738660;000-000;128-013;772;135-025;720;143-013;674;1572
150-038-000-000-1463738670;000-000;135-025;790;128-013;724;143-013;697;1517
150-038-000-000-1463738680;000-000;128-038;735;135-025;726;113-038;654;1678
150-038-000-000-1463738690;000-000;135-025;813;105-050;677;128-013;673;1575
150-038-000-000-1463738700;000-000;143-038;759;135-025;723;128-038;689;1791
150-038-000-000-1463738710;000-000;135-025;760;180-050;718;128-013;654;1515
150-038-000-000-1463738720;000-000;128-013;718;135-025;677;143-013;663;1626
150-038-000-000-1463738730;000-000;120-025;737;135-025;731;128-013;714;1735
150-038-000-000-1463738740;000-000;135-025;840;105-050;678;120-025;653;1315
150-038-000-000-1463738750;000-000;135-025;772;143-013;668;158-038;649;1566
150-038-000-000-1463738760;000-000;120-050;721;135-025;687;180-050;685;1678
150-038-000-000-1463738770;000-000;135-025;706;128-013;698;143-013;687;1574
150-038-000-000-1463738780;000-000;135-025;706;128-013;697;158-013;638;1571
150-038-000-000-1463738790;000-000;135-025;747;128-013;666;143-013;658;1681
150-038-000-000-1463738800;000-000;120-050;747;135-025;741;128-013;713;1468
150-038-000-000-1463738810;000-000;135-025;722;128-038;668;128-013;655;1683
150-038-000-000-1463738820;000-000;165-025;725;128-013;700;143-013;698;1465
150-038-000-000-1463738830;000-000;135-025;729;165-025;685;143-013;675;1417
150-038-000-000-1463738840;000-000;135-025;753;128-013;727;143-013;631;1369
150-038-000-000-1463738850;000-000;135-025;746;128-013;716;128-038;647;1573
150-038-000-000-1463738860;000-000;165-025;728;128-013;711;143-013;707;1417
150-038-000-000-1463738870;000-000;128-038;765;135-025;674;180-050;655;1794
150-038-000-000-1463738880;000-000;128-013;756;135-025;702;120-050;677;1623
150-038-000-000-1463738890;000-000;135-025;787;120-025;672;105-050;665;1628
150-038-000-000-1463738900;000-000;128-038;711;143-013;707;135-025;704;1793
150-038-000-000-1463738910;000-000;135-025;763;143-038;737;120-025;693;1734
150-038-000-000-1463738920;000-000;165-025;752;143-013;684;128-013;655;1677
150-038-000-000-1463738930;000-000;135-025;723;143-038;706;120-050;684;1737
150-038-000-000-1463738940;000-000;135-025;702;128-038;677;128-013;653;1571
150-038-000-000-1463738950;000-000;135-025;705;128-013;655;180-050;637;1417
150-038-000-000-1463738960;000-000;128-038;764;180-050;757;135-025;646;1461
150-038-000-000-1463738970;000-000;165-025;770;183-013;709;135-025;704;1569
150-038-000-000-1463738980;000-000;120-050;736;135-025;719;143-013;676;1796
150-038-000-000-1463738990;000-000;143-013;723;128-038;718;135-025;713;1681
150-038-000-000-1463739000;000-000;135-025;654;165-000;640;113-013;634;1444
165-038-000-000-1463738340;000-000;135-025;731;128-038;689;180-050;642;1623
165-038-000-000-1463738350;000-000;135-025;755;165-025;678;120-025;670;1572
